playerId,avatarFile,actionLabel,correctResponse,bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,sbLoop.thisRepN,sbLoop.thisTrialN,sbLoop.thisN,sbLoop.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.started,keyInstructions.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.rt,keyServer.started,keyServer.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.rt,keySbInstructions.started,keySbInstructions.stopped,cB_7.started,cB_7.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,sbKey.keys,sbKey.rt,sbKey.started,sbKey.stopped,cB_9.started,cB_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6.78713979999884,None,6.78713979999884,None,return,0.44419469999411376,8.769694399998116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1349,so_be_u_00,3.2.4,58.3052302141689,
,,,,,,,,,,,,,,,,,,,,9.230359499997576,None,9.230359499997576,None,c,0.30804730000090785,11.21136519999709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1349,so_be_u_00,3.2.4,58.3052302141689,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.535789699999441,None,11.535789699999441,None,c,0.7512544999990496,13.517247399999178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1349,so_be_u_00,3.2.4,58.3052302141689,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.285041199997067,None,14.285041199997067,15.292642899999919,15.25876199999766,15.770904199998768,15.754004199996416,16.26845389999653,16.26845389999653,16.777590699995926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1349,so_be_u_00,3.2.4,58.3052302141689,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.794605900002352,None,16.794605900002352,17.80291759999818,17.768964000002597,18.28408599999966,18.267279899999266,18.777654799996526,18.777654799996526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1349,so_be_u_00,3.2.4,58.3052302141689,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.290728399995714,None,19.290728399995714,20.299917899996217,20.26561049999873,20.777324199996656,20.760444300001836,21.273189899999124,21.273189899999124,21.78508989999682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1349,so_be_u_00,3.2.4,58.3052302141689,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.80202460000146,None,21.80202460000146,22.81051809999917,22.77670329999819,23.28909819999535,23.27219999999943,23.784765500000503,23.784765500000503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1349,so_be_u_00,3.2.4,58.3052302141689,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.297354900001665,None,24.297354900001665,25.306527699998696,25.272635599998466,25.786107100000663,25.768275399997947,26.281870599996182,26.265159999995376,26.777396799996495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1349,so_be_u_00,3.2.4,58.3052302141689,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.79408429999603,None,26.965271299995948,27.273554400002467,27.273554400002467,27.479741800001648,27.479741800001648,27.564786999995704,27.564786999995704,27.71658049999678,27.71658049999678,27.869817899998452,27.869817899998452,28.024152599995432,28.024152599995432,28.12593249999918,28.12593249999918,28.621563100001367,28.621563100001367,29.13272209999559,29.11578059999738,29.62599549999868,29.62599549999868,30.138607000000775,30.121588100002555,30.275999199999205,30.29276189999655,None,30.463990500000364,None,c,4.660500800004229,32.27488540000195,None,,,,,,,,,,,,,,,,001,2020_Feb_21_1349,so_be_u_00,3.2.4,58.3052302141689,
Paul,images/avatar1.jpg,defect,defect,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.95180139999866,None,39.65212339999562,None,39.65212339999562,None,39.65212339999562,None,left,3.4431318000060855,39.65212339999562,None,43.11189429999649,None,,001,2020_Feb_21_1349,so_be_u_00,3.2.4,58.3052302141689,
