playerId,avatarFile,actionLabel,correctResponse,bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,sbLoop.thisRepN,sbLoop.thisTrialN,sbLoop.thisN,sbLoop.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.started,keyInstructions.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.rt,keyServer.started,keyServer.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.rt,keySbInstructions.started,keySbInstructions.stopped,cB_7.started,cB_7.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,rating.response,rating.rt,rating.started,rating.stopped,cB_9.started,cB_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.267804099996283,None,10.267804099996283,None,x,0.22096049999527168,12.24748389999877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1354,so_be_u_00,3.2.4,58.394501571564696,
,,,,,,,,,,,,,,,,,,,,12.485206799996377,None,12.485206799996377,None,c,1.1467160000029253,14.467355999993742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1354,so_be_u_00,3.2.4,58.394501571564696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.631342199994833,None,15.631342199994833,None,c,0.49447450000297977,17.61289879999822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1354,so_be_u_00,3.2.4,58.394501571564696,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.12384469999961,None,18.12384469999961,19.134212899996783,19.100215699996625,19.61221499999374,19.595441699995717,20.106553599995095,20.106553599995095,20.618147599998338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1354,so_be_u_00,3.2.4,58.394501571564696,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.63515489999554,None,20.63515489999554,21.644929800000682,21.61149089999526,22.122584599994298,22.105583599994134,22.61787419999746,22.61787419999746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1354,so_be_u_00,3.2.4,58.394501571564696,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.131695799995214,None,23.131695799995214,24.139282899996033,24.105263299999933,24.618001199996797,24.600549700000556,25.11380339999596,25.11380339999596,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1354,so_be_u_00,3.2.4,58.394501571564696,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.62712669999746,None,25.62712669999746,26.632242699997732,26.598372499996913,27.111148500000127,27.111148500000127,27.622400000000198,27.605587599995488,28.11855469999864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1354,so_be_u_00,3.2.4,58.394501571564696,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.135553000000073,None,28.135553000000073,29.143223200000648,29.109947400000237,29.62430730000051,29.60551399999531,30.117419999995036,30.117419999995036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1354,so_be_u_00,3.2.4,58.394501571564696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.631591400000616,None,30.803606900000887,31.111387099997955,31.111387099997955,31.31620329999714,31.31620329999714,31.401481000000786,31.401481000000786,31.554359399997338,31.554359399997338,31.708777799998643,31.708777799998643,31.861359299997275,31.861359299997275,31.96352169999591,31.96352169999591,32.45869149999635,32.45869149999635,32.97032679999393,32.953312599995115,33.465090300000156,33.465090300000156,33.97720679999475,33.96027949999552,34.11478519999946,34.13271800000075,None,34.30403859999933,None,c,1.262669100004132,36.111946799996076,None,,,,,,,,,,,,,,,,001,2020_Feb_21_1354,so_be_u_00,3.2.4,58.394501571564696,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.39127529999678,None,40.0720330999975,None,40.0720330999975,None,40.0720330999975,None,9,12.291,0.012721999992209021,None,52.36809720000019,None,,001,2020_Feb_21_1354,so_be_u_00,3.2.4,58.394501571564696,
