bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,sbLoop.thisRepN,sbLoop.thisTrialN,sbLoop.thisN,sbLoop.thisIndex,playerId,avatarFile,actionLabel,correctResponse,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.started,keyInstructions.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.rt,keyServer.started,keyServer.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.rt,keySbInstructions.started,keySbInstructions.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,rating.response,rating.rt,rating.history,rating.started,rating.stopped,cB_9.started,cB_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6.0051127999977325,None,6.0051127999977325,None,z,0.8864146999985678,7.998362400001497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1403,so_be_u_00,3.2.4,58.54142859800152,
,,,,,,,,,,,,,,,,,,,,8.900839499998256,None,8.900839499998256,None,c,0.5473309000008157,10.88381169999775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1403,so_be_u_00,3.2.4,58.54142859800152,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.447373900002276,None,11.447373900002276,None,c,1.141394999998738,13.430204800002684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1403,so_be_u_00,3.2.4,58.54142859800152,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.588094699996873,None,14.588094699996873,15.59742059999553,15.563384599998244,16.07566570000199,16.058678100002,16.57376110000041,16.557074999996985,17.070578200000455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1403,so_be_u_00,3.2.4,58.54142859800152,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.08791740000015,17.08791740000015,17.08791740000015,18.095506400000886,18.062243699998362,18.574712599998747,18.55759489999764,19.070526499999687,19.070526499999687,19.58608549999917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1403,so_be_u_00,3.2.4,58.54142859800152,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.603165900000022,None,19.603165900000022,20.611341299998458,20.57423729999573,21.08854540000175,21.071454999997513,21.582801999997173,21.582801999997173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1403,so_be_u_00,3.2.4,58.54142859800152,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.094641499999852,None,22.094641499999852,23.104068399996322,23.06985859999986,23.581697699999495,23.564674100001866,24.077504200002295,24.077504200002295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1403,so_be_u_00,3.2.4,58.54142859800152,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.59240989999671,None,24.59240989999671,25.59905869999784,25.565191900001082,26.07668939999712,26.07668939999712,26.588577900001837,26.571548699997948,27.084874899999704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1403,so_be_u_00,3.2.4,58.54142859800152,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.102443899995706,None,27.275250899998355,27.58217650000006,27.58217650000006,27.769752499996684,27.769752499996684,27.871561300002213,27.871561300002213,28.02658369999699,28.02658369999699,28.179201300001296,28.179201300001296,28.332030999998096,28.332030999998096,28.43403119999857,28.43403119999857,28.92818940000143,28.92818940000143,29.442094799996994,29.424692100001266,29.935607100000198,29.935607100000198,30.44716619999963,30.4297418999995,30.58374200000253,30.600812500000757,None,30.771742700002505,None,c,0.3419069000010495,32.582293699997535,None,,,,,,,,,,,,,,,001,2020_Feb_21_1403,so_be_u_00,3.2.4,58.54142859800152,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.12694019999617,None,33.12694019999617,None,33.12694019999617,None,2,4.979,"[(2.0, 0.0), (1, 2.619), (0, 2.825), (1, 2.996), (2, 3.183), (3, 3.337), (4, 3.507), (3, 3.799), (2, 4.021), (2, 4.979)]",0.007131550002668519,None,38.112964699997974,None,,,,,,,
