bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,sbLoop.thisRepN,sbLoop.thisTrialN,sbLoop.thisN,sbLoop.thisIndex,playerId,avatarFile,actionLabel,correctResponse,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.started,keyInstructions.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.rt,keyServer.started,keyServer.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.rt,keySbInstructions.started,keySbInstructions.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,Slider.response,Slider.rt,Slider.history,Slider.started,Slider.stopped,cB_9.started,cB_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6.5452223000029335,None,6.5452223000029335,None,space,0.7520178999984637,8.529495800001314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1411,so_be_u_00,3.2.4,58.93380496128503,
,,,,,,,,,,,,,,,,,,,,9.297700499999337,None,9.297700499999337,None,c,0.3068124999990687,11.280465900003037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1411,so_be_u_00,3.2.4,58.93380496128503,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.603523199999472,None,11.603523199999472,None,c,0.27377339999657124,13.573783200001344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1411,so_be_u_00,3.2.4,58.93380496128503,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.864082400003099,None,13.864082400003099,14.873377200005052,14.839483000003383,15.352440599999682,15.3352273000055,15.849742300000798,15.83272130000114,16.345773500004725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1411,so_be_u_00,3.2.4,58.93380496128503,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.38002409999899,None,16.38002409999899,17.388026400003582,17.354147900005046,17.867882700003975,17.850924999998824,18.361919300004956,18.361919300004956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1411,so_be_u_00,3.2.4,58.93380496128503,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.87478650000412,None,18.87478650000412,19.88330069999938,19.849419099999068,20.361789400005364,20.344883800004027,20.860959500001627,20.843801200004236,21.354878900005133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1411,so_be_u_00,3.2.4,58.93380496128503,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.372009500002605,None,21.372009500002605,22.378817800003162,22.344872000001487,22.8563437000048,22.8563437000048,23.369187399999646,23.35221590000583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1411,so_be_u_00,3.2.4,58.93380496128503,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.86529840000003,None,23.86529840000003,24.8749478000027,24.838963400005014,25.351341800000228,25.334026399999857,25.84651290000329,25.84651290000329,26.358896700003243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_21_1411,so_be_u_00,3.2.4,58.93380496128503,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37575640000432,None,26.544168000000354,26.852964199999406,26.852964199999406,27.059136800002307,27.059136800002307,27.142928100001882,27.142928100001882,27.296278900001198,27.296278900001198,27.449135599999863,27.449135599999863,27.60268200000428,27.60268200000428,27.704260099999374,27.704260099999374,28.200176800004556,28.200176800004556,28.711392800003523,28.694460500002606,29.207979700004216,29.207979700004216,29.719531700000516,29.702175300000818,29.856902700004866,29.874016000001575,None,30.042947400004778,None,c,0.8217838999989908,31.854186900003697,None,,,,,,,,,,,,,,,001,2020_Feb_21_1411,so_be_u_00,3.2.4,58.93380496128503,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8625400000019,None,32.8625400000019,None,32.8625400000019,None,4,15.808,"[(2.0, 0.0), (1, 4.011), (2, 4.591), (3, 4.846), (4, 5.291), (3, 5.769), (2, 6.141), (1, 6.928), (0, 7.271), (1, 12.549), (2, 12.821), (3, 13.215), (2, 13.453), (3, 15.005), (4, 15.176), (4, 15.808)]",0.007188199997472111,None,48.68071130000317,None,,,,,,,
